bucket,matches,result_accuracy,score_accuracy,roi,profit_units
0-40,21,42.86,0.0,,0
40-50,25,56.0,20.0,,0
50-60,16,68.75,25.0,,0
60-70,2,50.0,0.0,,0
70-80,0,0.0,0.0,,0
80+,0,0.0,0.0,,0
