bucket,matches,result_accuracy,score_accuracy,roi,profit_units
0-20,0,0.0,0.0,,0
20-40,2,50.0,0.0,,0
40-50,16,68.75,25.0,,0
50-60,28,53.57,17.86,,0
60-70,17,41.18,0.0,,0
70+,1,100.0,0.0,,0
