sample,match_id,match_date,home_team,away_team,predicted_result,actual_result,predicted_score,actual_score,confidence_score,upset_probability,home_probability,draw_probability,away_probability,result_hit,score_hit
2018,303,2018-06-28T17:00:00,Japan,Poland,Away Win,Away Win,0-2,0-1,38.16,34.09,34.09,27.75,38.16,True,False
2018,304,2018-06-28T18:00:00,Senegal,Colombia,Away Win,Away Win,1-2,0-1,36.63,33.85,33.85,29.52,36.63,True,False
2018,297,2018-06-28T20:00:00,England,Belgium,Home Win,Away Win,2-0,0-1,38.91,32.44,38.91,28.65,32.44,False,False
2018,298,2018-06-28T21:00:00,Panama,Tunisia,Away Win,Away Win,2-4,1-2,44.99,30.13,30.13,24.88,44.99,True,False
2018,305,2018-06-30T17:00:00,France,Argentina,Draw,Home Win,1-1,4-3,33.75,33.75,33.76,33.75,32.49,False,False
2018,306,2018-06-30T21:00:00,Uruguay,Portugal,Draw,Home Win,2-2,2-1,30.01,31.93,31.93,30.01,38.05,False,False
2018,307,2018-07-01T17:00:00,Spain,Russia,Home Win,Draw,3-2,1-1,44.24,30.7,44.24,25.06,30.7,False,False
2018,308,2018-07-01T21:00:00,Croatia,Denmark,Draw,Draw,1-1,1-1,30.75,32.02,37.23,30.75,32.02,True,True
2018,309,2018-07-02T18:00:00,Brazil,Mexico,Home Win,Home Win,2-1,2-0,51.8,24.38,51.8,23.82,24.38,True,False
2018,310,2018-07-02T21:00:00,Belgium,Japan,Home Win,Home Win,1-0,3-2,44.47,27.87,44.47,27.87,27.65,True,False
2018,311,2018-07-03T17:00:00,Sweden,Switzerland,Home Win,Home Win,2-1,1-0,38.43,32.29,38.43,29.28,32.29,True,False
2018,312,2018-07-03T21:00:00,Colombia,England,Draw,Draw,1-1,1-1,31.88,32.44,32.44,31.88,35.67,True,True
2018,313,2018-07-06T17:00:00,Uruguay,France,Away Win,Away Win,1-3,0-2,43.21,30.34,30.34,26.45,43.21,True,False
2018,314,2018-07-06T21:00:00,Brazil,Belgium,Home Win,Away Win,3-1,1-2,45.78,27.2,45.78,27.2,27.02,False,False
2018,315,2018-07-07T18:00:00,Sweden,England,Draw,Away Win,1-1,0-2,30.54,33.4,33.4,30.54,36.07,False,False
2018,316,2018-07-07T21:00:00,Russia,Croatia,Away Win,Draw,1-2,1-1,41.92,30.12,30.12,27.95,41.92,False,False
2018,317,2018-07-10T21:00:00,France,Belgium,Draw,Home Win,1-1,1-0,31.32,31.32,39.35,31.32,29.33,False,False
2018,318,2018-07-11T21:00:00,Croatia,England,Draw,Draw,1-1,1-1,30.77,33.09,33.09,30.77,36.14,True,True
2018,319,2018-07-14T17:00:00,Belgium,England,Away Win,Home Win,0-2,2-0,37.54,34.07,34.07,28.39,37.54,False,False
2018,320,2018-07-15T18:00:00,France,Croatia,Home Win,Home Win,2-1,4-2,41.3,30.25,41.3,28.45,30.25,True,False
2022,321,2022-11-20T19:00:00,Qatar,Ecuador,Draw,Away Win,1-1,0-2,31.02,34.41,34.41,31.02,34.57,False,False
2022,327,2022-11-21T16:00:00,England,Iran,Home Win,Home Win,1-0,6-2,50.97,24.56,50.97,24.56,24.47,True,False
2022,322,2022-11-21T19:00:00,Senegal,Netherlands,Away Win,Away Win,0-2,0-2,51.16,25.46,25.46,23.38,51.16,True,True
2022,328,2022-11-21T22:00:00,USA,Wales,Draw,Draw,0-0,1-1,34.58,34.25,31.17,34.58,34.25,True,False
2022,333,2022-11-22T13:00:00,Argentina,Saudi Arabia,Home Win,Away Win,2-1,1-2,59.77,20.22,59.77,20.22,20.01,False,False
2022,339,2022-11-22T16:00:00,Denmark,Tunisia,Home Win,Draw,2-0,0-0,46.54,28.63,46.54,24.83,28.63,False,False
2022,334,2022-11-22T19:00:00,Mexico,Poland,Home Win,Draw,2-0,0-0,36.13,34.58,36.13,29.29,34.58,False,False
2022,340,2022-11-22T22:00:00,France,Australia,Home Win,Home Win,2-1,4-1,58.57,20.82,58.57,20.61,20.82,True,False
2022,351,2022-11-23T13:00:00,Morocco,Croatia,Away Win,Draw,0-2,0-0,43.9,28.14,27.96,28.14,43.9,False,False
2022,345,2022-11-23T16:00:00,Germany,Japan,Home Win,Away Win,2-1,1-2,54.5,22.92,54.5,22.57,22.92,False,False
2022,346,2022-11-23T19:00:00,Spain,Costa Rica,Home Win,Home Win,2-0,7-0,46.81,28.11,46.81,25.08,28.11,True,False
2022,352,2022-11-23T22:00:00,Belgium,Canada,Home Win,Home Win,1-0,1-0,52.79,23.93,52.79,23.28,23.93,True,True
