tournament_year,team_name,country,confederation,fifa_ranking,elo_rating,squad_market_value_eur,average_age,total_caps,average_caps,world_cup_history_score,recent_two_year_rating,projected_starting_xi,key_injuries,coach,last_world_cup_finish,source,captured_at
2026,Iraq,Iraq,AFC,57,1607.0,21200000.0,26.9,,,,0.6984,[],[],,Did not qualify 2022,Transfermarkt World Cup participants and FIFA world ranking pages; Football-Data WorldCup2026Qualifiers; local WorldCup 2022 results; https://eloratings.net/World.tsv,
2026,Japan,Japan,AFC,18,1906.0,270850000.0,27.8,,,,0.8444,[],[],,Round of 16,Transfermarkt World Cup participants and FIFA world ranking pages; Football-Data WorldCup2026Qualifiers; local WorldCup 2022 results; https://eloratings.net/World.tsv,
2026,Jordan,Jordan,AFC,63,1680.0,20300000.0,28.5,,,,0.6042,[],[],,Did not qualify 2022,Transfermarkt World Cup participants and FIFA world ranking pages; Football-Data WorldCup2026Qualifiers; local WorldCup 2022 results; https://eloratings.net/World.tsv,
2026,Korea Republic,Korea Republic,AFC,25,1758.0,139050000.0,28.1,,,,0.7917,[],[],,Round of 16,Transfermarkt World Cup participants and FIFA world ranking pages; Football-Data WorldCup2026Qualifiers; local WorldCup 2022 results; https://eloratings.net/World.tsv,
2026,Mexico,Mexico,CONCACAF,15,1875.0,191850000.0,27.9,,,,,[],[],,Qualified 2022,Transfermarkt World Cup participants and FIFA world ranking pages; Football-Data WorldCup2026Qualifiers; local WorldCup 2022 results; https://eloratings.net/World.tsv,
2026,Morocco,Morocco,CAF,8,1827.0,498300000.0,26.4,,,,1.0,[],[],,Semi-final,Transfermarkt World Cup participants and FIFA world ranking pages; Football-Data WorldCup2026Qualifiers; local WorldCup 2022 results; https://eloratings.net/World.tsv,
2026,Netherlands,Netherlands,UEFA,7,1948.0,754200000.0,27.8,,,,0.8333,[],[],,Quarter-final,Transfermarkt World Cup participants and FIFA world ranking pages; Football-Data WorldCup2026Qualifiers; local WorldCup 2022 results; https://eloratings.net/World.tsv,
2026,New Zealand,New Zealand,OFC,85,1562.0,34350000.0,28.1,,,,1.0,[],[],,Did not qualify 2022,Transfermarkt World Cup participants and FIFA world ranking pages; Football-Data WorldCup2026Qualifiers; local WorldCup 2022 results; https://eloratings.net/World.tsv,
2026,Norway,Norway,UEFA,31,1914.0,589900000.0,26.8,,,,1.0,[],[],,Did not qualify 2022,Transfermarkt World Cup participants and FIFA world ranking pages; Football-Data WorldCup2026Qualifiers; local WorldCup 2022 results; https://eloratings.net/World.tsv,
2026,Panama,Panama,CONCACAF,33,1730.0,34550000.0,30.4,,,,0.8,[],[],,Did not qualify 2022,Transfermarkt World Cup participants and FIFA world ranking pages; Football-Data WorldCup2026Qualifiers; local WorldCup 2022 results; https://eloratings.net/World.tsv,
