tournament_year,match_id,match_date,home_team,away_team,home_win_odds,draw_odds,away_win_odds,handicap,handicap_home_odds,handicap_draw_odds,handicap_away_odds,captured_at,source,result
2022,321,2022-11-20 19:00:00,Qatar,Ecuador,3.7,3.11,2.27,,,,,2022-11-21 00:00:00,https://www.oddsportal.com/football/world/world-cup-2022/results/#ajax-page-2,Away Win
2022,327,2022-11-21 16:00:00,England,Iran,1.37,4.78,10.46,,,,,2022-11-21 21:00:00,https://www.oddsportal.com/football/world/world-cup-2022/results/#ajax-page-2,Home Win
2022,322,2022-11-21 19:00:00,Senegal,Netherlands,6.34,3.72,1.65,,,,,2022-11-22 00:00:00,https://www.oddsportal.com/football/world/world-cup-2022/results/#ajax-page-2,Away Win
2022,328,2022-11-21 22:00:00,USA,Wales,2.49,3.12,3.22,,,,,2022-11-22 03:00:00,https://www.oddsportal.com/football/world/world-cup-2022/results/#ajax-page-2,Draw
2022,333,2022-11-22 13:00:00,Argentina,Saudi Arabia,1.12,9.95,28.62,,,,,2022-11-22 18:00:00,https://www.oddsportal.com/football/world/world-cup-2022/results/#ajax-page-2,Away Win
2022,339,2022-11-22 16:00:00,Denmark,Tunisia,1.57,3.99,6.8,,,,,2022-11-22 21:00:00,https://www.oddsportal.com/football/world/world-cup-2022/results/#ajax-page-2,Draw
2022,334,2022-11-22 19:00:00,Mexico,Poland,2.48,3.14,3.21,,,,,2022-11-23 00:00:00,https://www.oddsportal.com/football/world/world-cup-2022/results/#ajax-page-2,Draw
2022,340,2022-11-22 22:00:00,France,Australia,1.22,7.28,13.56,,,,,2022-11-23 03:00:00,https://www.oddsportal.com/football/world/world-cup-2022/results/#ajax-page-2,Home Win
2022,351,2022-11-23 13:00:00,Morocco,Croatia,3.73,3.28,2.19,,,,,2022-11-23 18:00:00,https://www.oddsportal.com/football/world/world-cup-2022/results/#ajax-page-2,Draw
2022,345,2022-11-23 16:00:00,Germany,Japan,1.43,4.93,7.53,,,,,2022-11-23 21:00:00,https://www.oddsportal.com/football/world/world-cup-2022/results/#ajax-page-2,Away Win
2022,346,2022-11-23 19:00:00,Spain,Costa Rica,1.16,8.97,17.57,,,,,2022-11-24 00:00:00,https://www.oddsportal.com/football/world/world-cup-2022/results/#ajax-page-2,Home Win
2022,352,2022-11-23 22:00:00,Belgium,Canada,1.59,4.13,6.1,,,,,2022-11-24 03:00:00,https://www.oddsportal.com/football/world/world-cup-2022/results/#ajax-page-2,Home Win
2022,357,2022-11-24 13:00:00,Switzerland,Cameroon,1.82,3.46,5.08,,,,,2022-11-24 18:00:00,https://www.oddsportal.com/football/world/world-cup-2022/results/#ajax-page-2,Home Win
2022,363,2022-11-24 16:00:00,Uruguay,South Korea,1.79,3.56,5.21,,,,,2022-11-24 21:00:00,https://www.oddsportal.com/football/world/world-cup-2022/results/#ajax-page-2,Draw
2022,364,2022-11-24 19:00:00,Portugal,Ghana,1.32,5.68,10.18,,,,,2022-11-25 00:00:00,https://www.oddsportal.com/football/world/world-cup-2022/results/#ajax-page-1,Home Win
2022,358,2022-11-24 22:00:00,Brazil,Serbia,1.46,4.59,7.69,,,,,2022-11-25 03:00:00,https://www.oddsportal.com/football/world/world-cup-2022/results/#ajax-page-1,Home Win
2022,329,2022-11-25 13:00:00,Wales,Iran,2.09,3.22,4.14,,,,,2022-11-25 18:00:00,https://www.oddsportal.com/football/world/world-cup-2022/results/#ajax-page-1,Away Win
2022,323,2022-11-25 16:00:00,Qatar,Senegal,5.56,3.62,1.73,,,,,2022-11-25 21:00:00,https://www.oddsportal.com/football/world/world-cup-2022/results/#ajax-page-1,Away Win
2022,324,2022-11-25 19:00:00,Netherlands,Ecuador,1.83,3.44,5.11,,,,,2022-11-26 00:00:00,https://www.oddsportal.com/football/world/world-cup-2022/results/#ajax-page-1,Draw
2022,330,2022-11-25 22:00:00,England,USA,1.46,4.31,8.38,,,,,2022-11-26 03:00:00,https://www.oddsportal.com/football/world/world-cup-2022/results/#ajax-page-1,Draw
