tournament_year,match_id,match_date,home_team,away_team,home_win_odds,draw_odds,away_win_odds,handicap,handicap_home_odds,handicap_draw_odds,handicap_away_odds,captured_at,source,result
2018,262,2018-06-25 17:00:00,Saudi Arabia,Egypt,5.95,3.56,1.7,,,,,2018-06-25 22:00:00,https://www.oddsportal.com/football/world/world-cup-2018/results/#ajax-page-1,Home Win
2018,261,2018-06-25 18:00:00,Uruguay,Russia,3.06,3.06,2.61,,,,,2018-06-25 22:00:00,https://www.oddsportal.com/football/world/world-cup-2018/results/#ajax-page-1,Home Win
2018,268,2018-06-25 20:00:00,Spain,Morocco,1.31,5.0,12.5,,,,,2018-06-26 02:00:00,https://www.oddsportal.com/football/world/world-cup-2018/results/#ajax-page-1,Draw
2018,267,2018-06-25 21:00:00,Iran,Portugal,7.0,4.08,1.54,,,,,2018-06-26 02:00:00,https://www.oddsportal.com/football/world/world-cup-2018/results/#ajax-page-1,Draw
2018,273,2018-06-26 17:00:00,Denmark,France,6.45,2.72,1.95,,,,,2018-06-26 22:00:00,https://www.oddsportal.com/football/world/world-cup-2018/results/#ajax-page-1,Draw
2018,274,2018-06-26 17:00:00,Australia,Peru,3.16,3.56,2.28,,,,,2018-06-26 22:00:00,https://www.oddsportal.com/football/world/world-cup-2018/results/#ajax-page-1,Away Win
2018,279,2018-06-26 21:00:00,Nigeria,Argentina,6.6,5.15,1.44,,,,,2018-06-27 02:00:00,https://www.oddsportal.com/football/world/world-cup-2018/results/#ajax-page-1,Away Win
2018,280,2018-06-26 21:00:00,Iceland,Croatia,4.88,3.96,1.73,,,,,2018-06-27 02:00:00,https://www.oddsportal.com/football/world/world-cup-2018/results/#ajax-page-1,Away Win
2018,291,2018-06-27 17:00:00,South Korea,Germany,23.0,8.4,1.14,,,,,2018-06-27 22:00:00,https://www.oddsportal.com/football/world/world-cup-2018/results/#ajax-page-1,Home Win
2018,292,2018-06-27 19:00:00,Mexico,Sweden,2.18,3.36,3.56,,,,,2018-06-27 22:00:00,https://www.oddsportal.com/football/world/world-cup-2018/results/#ajax-page-1,Away Win
