match_id,year,match_date,match,prediction_type,actual_result,hit,predicted_score,home_probability,draw_probability,away_probability,confidence_score,upset_probability,odds,return_units,roi
291,2018,2018-06-27T17:00:00,South Korea vs Germany,Away Win,Home Win,False,1-4,17.16,19.82,63.03,63.03,36.97,1.14,0.0,-100.0
292,2018,2018-06-27T19:00:00,Mexico vs Sweden,Away Win,Away Win,True,0-2,33.55,29.66,36.79,36.79,66.45,3.56,3.56,256.0
285,2018,2018-06-27T21:00:00,Serbia vs Brazil,Away Win,Away Win,True,0-2,24.09,21.98,53.93,53.93,46.07,1.41,1.41,41.0
286,2018,2018-06-27T21:00:00,Switzerland vs Costa Rica,Home Win,Draw,False,2-0,39.05,28.82,32.13,39.05,60.95,1.55,0.0,-100.0
303,2018,2018-06-28T17:00:00,Japan vs Poland,Away Win,Away Win,True,0-2,34.09,27.75,38.16,38.16,65.91,3.02,3.02,202.0
304,2018,2018-06-28T18:00:00,Senegal vs Colombia,Away Win,Away Win,True,1-2,33.85,29.52,36.63,36.63,63.37,1.67,1.67,67.0
297,2018,2018-06-28T20:00:00,England vs Belgium,Home Win,Away Win,False,2-0,38.91,28.65,32.44,38.91,61.09,2.63,0.0,-100.0
298,2018,2018-06-28T21:00:00,Panama vs Tunisia,Away Win,Away Win,True,2-4,30.13,24.88,44.99,44.99,55.01,1.77,1.77,77.0
305,2018,2018-06-30T17:00:00,France vs Argentina,Draw,Home Win,False,1-1,33.76,33.75,32.49,33.75,66.24,3.03,0.0,-100.0
306,2018,2018-06-30T21:00:00,Uruguay vs Portugal,Draw,Home Win,False,2-2,31.93,30.01,38.05,30.01,61.95,2.91,0.0,-100.0
307,2018,2018-07-01T17:00:00,Spain vs Russia,Home Win,Draw,False,3-2,44.24,25.06,30.7,44.24,55.76,1.51,0.0,-100.0
308,2018,2018-07-01T21:00:00,Croatia vs Denmark,Draw,Draw,True,1-1,37.23,30.75,32.02,30.75,62.77,3.21,3.21,221.0
309,2018,2018-07-02T18:00:00,Brazil vs Mexico,Home Win,Home Win,True,2-1,51.8,23.82,24.38,51.8,48.2,1.45,1.45,45.0
310,2018,2018-07-02T21:00:00,Belgium vs Japan,Home Win,Home Win,True,1-0,44.47,27.87,27.65,44.47,55.53,1.35,1.35,35.0
311,2018,2018-07-03T17:00:00,Sweden vs Switzerland,Home Win,Home Win,True,2-1,38.43,29.28,32.29,38.43,67.71,3.3,3.3,230.0
312,2018,2018-07-03T21:00:00,Colombia vs England,Draw,Draw,True,1-1,32.44,31.88,35.67,31.88,64.33,3.03,3.03,203.0
313,2018,2018-07-06T17:00:00,Uruguay vs France,Away Win,Away Win,True,1-3,30.34,26.45,43.21,43.21,56.79,1.89,1.89,89.0
314,2018,2018-07-06T21:00:00,Brazil vs Belgium,Home Win,Away Win,False,3-1,45.78,27.2,27.02,45.78,54.22,1.96,0.0,-100.0
315,2018,2018-07-07T18:00:00,Sweden vs England,Draw,Away Win,False,1-1,33.4,30.54,36.07,30.54,63.93,3.25,0.0,-100.0
316,2018,2018-07-07T21:00:00,Russia vs Croatia,Away Win,Draw,False,1-2,30.12,27.95,41.92,41.92,58.08,2.1,0.0,-100.0
317,2018,2018-07-10T21:00:00,France vs Belgium,Draw,Home Win,False,1-1,39.35,31.32,29.33,31.32,60.65,3.03,0.0,-100.0
318,2018,2018-07-11T21:00:00,Croatia vs England,Draw,Draw,True,1-1,33.09,30.77,36.14,30.77,63.86,2.93,2.93,193.0
319,2018,2018-07-14T17:00:00,Belgium vs England,Away Win,Home Win,False,0-2,34.07,28.39,37.54,37.54,65.93,3.36,0.0,-100.0
320,2018,2018-07-15T18:00:00,France vs Croatia,Home Win,Home Win,True,2-1,41.3,28.45,30.25,41.3,58.7,1.99,1.99,99.0
321,2022,2022-11-20T19:00:00,Qatar vs Ecuador,Draw,Away Win,False,1-1,34.41,31.02,34.57,31.02,65.43,3.11,0.0,-100.0
327,2022,2022-11-21T16:00:00,England vs Iran,Home Win,Home Win,True,1-0,50.97,24.56,24.47,50.97,49.03,1.37,1.37,37.0
322,2022,2022-11-21T19:00:00,Senegal vs Netherlands,Away Win,Away Win,True,0-2,25.46,23.38,51.16,51.16,48.84,1.65,1.65,65.0
328,2022,2022-11-21T22:00:00,USA vs Wales,Draw,Draw,True,0-0,31.17,34.58,34.25,34.58,68.83,3.12,3.12,212.0
333,2022,2022-11-22T13:00:00,Argentina vs Saudi Arabia,Home Win,Away Win,False,2-1,59.77,20.22,20.01,59.77,40.23,1.12,0.0,-100.0
339,2022,2022-11-22T16:00:00,Denmark vs Tunisia,Home Win,Draw,False,2-0,46.54,24.83,28.63,46.54,53.46,1.57,0.0,-100.0
