bucket,matches,result_accuracy,score_accuracy,roi,profit_units
0-20,0,0.0,0.0,,0
20-40,1,0.0,0.0,,0
40-50,10,80.0,30.0,,0
50-60,31,51.61,6.45,,0
60-70,22,54.55,13.64,,0
70+,0,0.0,0.0,,0
