section,total_matches,result_hits,result_accuracy,score_hits,score_accuracy,handicap_matches,handicap_hits,handicap_accuracy,average_roi,cumulative_roi,profit_units,win_rate,loss_rate,roi_sample_size,time_safe_invalid_matches,bucket,matches,roi,strategy,filter_rule,comparable_matches,conflict_matches,conflict_accuracy,conflict_roi,conflict_profit,non_conflict_matches,non_conflict_accuracy,non_conflict_roi,non_conflict_profit,stage,accuracy,profit,team,system_score,roi_auditable,roi_audit_note,best_filter_threshold,best_confidence_range,best_filter_threshold_by_accuracy,best_confidence_range_by_accuracy,conflict_matches_should_be_filtered,upset_probability_effective,confidence_score_effective,highest_roi_strategy,highest_roi_top_confidence,highest_accuracy_strategy,highest_accuracy_confidence_bucket,highest_accuracy_top_confidence,recommend_world_cup_live_stage,sample_warning
overall,64,36,56.25,8,12.5,0,0,0.0,,,0,56.25,43.75,0,64,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
confidence_analysis,,,50.0,,12.5,,,,,,0,,,,,0-40,24,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
confidence_analysis,,,55.17,,6.9,,,,,,0,,,,,40-50,29,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
confidence_analysis,,,80.0,,30.0,,,,,,0,,,,,50-60,10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
confidence_analysis,,,0.0,,0.0,,,,,,0,,,,,60-70,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
confidence_analysis,,,0.0,,0.0,,,,,,0,,,,,70-80,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
confidence_analysis,,,0.0,,0.0,,,,,,0,,,,,80+,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
upset_analysis,,,0.0,,0.0,,,,,,0,,,,,0-20,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
upset_analysis,,,0.0,,0.0,,,,,,0,,,,,20-40,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
upset_analysis,,,80.0,,30.0,,,,,,0,,,,,40-50,10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
upset_analysis,,,51.61,,6.45,,,,,,0,,,,,50-60,31,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
upset_analysis,,,54.55,,13.64,,,,,,0,,,,,60-70,22,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
upset_analysis,,,0.0,,0.0,,,,,,0,,,,,70+,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
strategy_analysis,,,56.25,,12.5,,,,,,0,,,,,,64,,A_all_matches,none,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
strategy_analysis,,,72.73,,27.27,,,,,,0,,,,,,11,,B_filter_upset_gt_50,upset_probability <= 50,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
strategy_analysis,,,62.5,,20.83,,,,,,0,,,,,,24,,C_filter_upset_gt_55,upset_probability <= 55,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
strategy_analysis,,,57.14,,11.9,,,,,,0,,,,,,42,,D_filter_upset_gt_60,upset_probability <= 60,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
strategy_analysis,,,56.14,,14.04,,,,,,0,,,,,,57,,E_filter_upset_gt_65,upset_probability <= 65,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
strategy_analysis,,,56.25,,12.5,,,,,,0,,,,,,64,,F_filter_upset_gt_70,upset_probability <= 70,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
conflict_analysis,,,,,,,,,,,,,,,,,,,,,64,7,71.43,,0,57,54.39,,0,,,,,,,,,,,,,,,,,,,,,
stage_analysis,,,,,,,,,,,,,,,,,48,,,,,,,,,,,,,Group Stage,58.33,0,,,,,,,,,,,,,,,,,,
stage_analysis,,,,,,,,,,,,,,,,,8,,,,,,,,,,,,,Round of 16,62.5,0,,,,,,,,,,,,,,,,,,
stage_analysis,,,,,,,,,,,,,,,,,4,,,,,,,,,,,,,Quarter-finals,25.0,0,,,,,,,,,,,,,,,,,,
stage_analysis,,,,,,,,,,,,,,,,,2,,,,,,,,,,,,,Semi-finals,50.0,0,,,,,,,,,,,,,,,,,,
stage_analysis,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,Third-place match,0.0,0,,,,,,,,,,,,,,,,,,
stage_analysis,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,Final,100.0,0,,,,,,,,,,,,,,,,,,
strong_team_analysis,,,,,,,,,,,,,,,,,4,,,,,,,,,,,,,,25.0,0,Argentina,,,,,,,,,,,,,,,,,
strong_team_analysis,,,,,,,,,,,,,,,,,7,,,,,,,,,,,,,,57.14,0,France,,,,,,,,,,,,,,,,,
strong_team_analysis,,,,,,,,,,,,,,,,,5,,,,,,,,,,,,,,60.0,0,Brazil,,,,,,,,,,,,,,,,,
strong_team_analysis,,,,,,,,,,,,,,,,,7,,,,,,,,,,,,,,57.14,0,England,,,,,,,,,,,,,,,,,
strong_team_analysis,,,,,,,,,,,,,,,,,3,,,,,,,,,,,,,,33.33,0,Germany,,,,,,,,,,,,,,,,,
strong_team_analysis,,,,,,,,,,,,,,,,,4,,,,,,,,,,,,,,25.0,0,Spain,,,,,,,,,,,,,,,,,
strong_team_analysis,,,,,,,,,,,,,,,,,4,,,,,,,,,,,,,,25.0,0,Portugal,,,,,,,,,,,,,,,,,
strong_team_analysis,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,0.0,0,Netherlands,,,,,,,,,,,,,,,,,
top_confidence_analysis,,,,,,,,,,,,,,,,Top 10%,7,,,,,,,,,,,,,,71.43,0,,,,,,,,,,,,,,,,,,
top_confidence_analysis,,,,,,,,,,,,,,,,Top 20%,13,,,,,,,,,,,,,,69.23,0,,,,,,,,,,,,,,,,,,
top_confidence_analysis,,,,,,,,,,,,,,,,Top 30%,20,,,,,,,,,,,,,,65.0,0,,,,,,,,,,,,,,,,,,
top_confidence_analysis,,,,,,,,,,,,,,,,Top 50%,32,,,,,,,,,,,,,,59.38,0,,,,,,,,,,,,,,,,,,
top_confidence_analysis,,,,,,,,,,,,,,,,All Matches,64,,,,,,,,,,,,,,56.25,0,,,,,,,,,,,,,,,,,,
conclusion,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,65,False,ROI is unavailable because no odds rows passed the time-safe pre-match validation.,,,B_filter_upset_gt_50,50-60,False,False,True,,,"{'strategy': 'B_filter_upset_gt_50', 'filter_rule': 'upset_probability <= 50', 'matches': 11, 'result_accuracy': 72.73, 'score_accuracy': 27.27, 'roi': None, 'profit_units': 0}","{'bucket': '50-60', 'matches': 10, 'result_accuracy': 80.0, 'score_accuracy': 30.0, 'roi': None, 'profit_units': 0}","{'bucket': 'Top 10%', 'matches': 7, 'accuracy': 71.43, 'roi': None, 'profit': 0}",False,Phase 2 only uses 2018 World Cup 64 matches; combine with 2022 before final deployment.
