bucket,matches,result_accuracy,score_accuracy,roi,profit_units
0-40,24,50.0,12.5,,0
40-50,29,55.17,6.9,,0
50-60,10,80.0,30.0,,0
60-70,1,0.0,0.0,,0
70-80,0,0.0,0.0,,0
80+,0,0.0,0.0,,0
