bucket,matches,result_accuracy,score_accuracy,roi,profit_units
0-40,45,46.67,6.67,,0
40-50,54,55.56,12.96,,0
50-60,26,73.08,26.92,,0
60-70,3,33.33,0.0,,0
70-80,0,0.0,0.0,,0
80+,0,0.0,0.0,,0
