condition_id,condition,match_id,year,match,actual_result,predicted_result,is_actual_draw,draw_probability,win_probability_gap,predicted_total_goals,upset_probability
C01,Draw Probability >= 25%,335,2022,Poland vs Saudi Arabia,Home Win,Home Win,False,26.08,20.78,3,53.14
C01,Draw Probability >= 25%,336,2022,Argentina vs Mexico,Home Win,Home Win,False,26.13,18.61,2,55.26
C01,Draw Probability >= 25%,347,2022,Japan vs Costa Rica,Away Win,Draw,False,30.2,7.34,2,62.47
C01,Draw Probability >= 25%,354,2022,Croatia vs Canada,Home Win,Home Win,False,28.28,19.93,1,51.8
C01,Draw Probability >= 25%,348,2022,Spain vs Germany,Draw,Away Win,True,29.97,7.6,4,67.54
C01,Draw Probability >= 25%,359,2022,Cameroon vs Serbia,Draw,Draw,True,30.92,9.43,0,59.65
C01,Draw Probability >= 25%,365,2022,South Korea vs Ghana,Away Win,Away Win,False,27.51,11.52,3,66.53
C01,Draw Probability >= 25%,366,2022,Portugal vs Uruguay,Home Win,Draw,False,30.44,6.25,2,63.31
C01,Draw Probability >= 25%,325,2022,Ecuador vs Senegal,Away Win,Away Win,False,28.9,7.36,1,65.17
C01,Draw Probability >= 25%,331,2022,Wales vs England,Away Win,Away Win,False,28.35,17.08,1,54.57
C01,Draw Probability >= 25%,332,2022,Iran vs USA,Away Win,Draw,False,31.6,7.06,2,61.34
C01,Draw Probability >= 25%,343,2022,Australia vs Denmark,Home Win,Away Win,False,26.54,18.56,2,54.89
C01,Draw Probability >= 25%,355,2022,Croatia vs Belgium,Draw,Home Win,True,28.91,7.06,3,64.89
C01,Draw Probability >= 25%,356,2022,Canada vs Morocco,Away Win,Draw,False,30.45,12.62,0,56.92
C01,Draw Probability >= 25%,367,2022,Ghana vs Uruguay,Away Win,Away Win,False,27.34,13.68,2,58.98
C01,Draw Probability >= 25%,361,2022,Serbia vs Switzerland,Away Win,Away Win,False,29.39,8.97,2,67.75
C01,Draw Probability >= 25%,372,2022,England vs Senegal,Home Win,Home Win,False,28.72,13.32,3,57.97
C01,Draw Probability >= 25%,373,2022,Japan vs Croatia,Draw,Away Win,True,28.85,14.29,2,56.86
C01,Draw Probability >= 25%,375,2022,Morocco vs Spain,Draw,Away Win,True,26.11,18.96,3,54.93
C01,Draw Probability >= 25%,376,2022,Portugal vs Switzerland,Home Win,Home Win,False,29.09,10.54,6,60.37
C01,Draw Probability >= 25%,377,2022,Croatia vs Brazil,Draw,Away Win,True,26.35,19.47,3,54.18
C01,Draw Probability >= 25%,378,2022,Netherlands vs Argentina,Draw,Draw,True,30.81,9.71,2,71.34
C01,Draw Probability >= 25%,379,2022,Morocco vs Portugal,Home Win,Away Win,False,28.38,15.0,3,56.62
C01,Draw Probability >= 25%,380,2022,England vs France,Away Win,Draw,False,32.23,3.97,4,63.8
C01,Draw Probability >= 25%,381,2022,Argentina vs Croatia,Home Win,Home Win,False,29.47,9.54,3,60.99
C01,Draw Probability >= 25%,382,2022,France vs Morocco,Home Win,Home Win,False,25.45,23.95,2,50.6
C01,Draw Probability >= 25%,383,2022,Croatia vs Morocco,Home Win,Draw,False,31.38,6.08,0,62.55
C01,Draw Probability >= 25%,384,2022,Argentina vs France,Draw,Draw,True,31.24,6.33,6,68.81
C02,Draw Probability >= 27%,257,2018,Russia vs Saudi Arabia,Home Win,Home Win,False,28.94,16.33,6,54.73
C02,Draw Probability >= 27%,258,2018,Egypt vs Uruguay,Away Win,Away Win,False,28.53,12.9,2,58.57
C02,Draw Probability >= 27%,263,2018,Morocco vs Iran,Away Win,Draw,False,31.23,8.83,2,59.94
C02,Draw Probability >= 27%,264,2018,Portugal vs Spain,Draw,Away Win,True,28.98,7.96,2,63.06
C02,Draw Probability >= 27%,270,2018,Peru vs Denmark,Away Win,Away Win,False,29.45,11.45,6,59.1
C02,Draw Probability >= 27%,276,2018,Croatia vs Nigeria,Home Win,Home Win,False,28.4,13.17,1,58.43
C02,Draw Probability >= 27%,281,2018,Costa Rica vs Serbia,Away Win,Draw,False,30.23,5.52,2,65.99
C02,Draw Probability >= 27%,293,2018,Belgium vs Panama,Home Win,Home Win,False,28.7,9.05,1,62.25
C02,Draw Probability >= 27%,294,2018,Tunisia vs England,Away Win,Away Win,False,28.05,18.53,1,53.42
C02,Draw Probability >= 27%,300,2018,Poland vs Senegal,Away Win,Away Win,False,29.2,7.29,1,65.69
C02,Draw Probability >= 27%,259,2018,Russia vs Egypt,Home Win,Home Win,False,28.16,13.02,2,58.82
C02,Draw Probability >= 27%,278,2018,Nigeria vs Iceland,Home Win,Away Win,False,28.64,12.1,1,59.26
C02,Draw Probability >= 27%,284,2018,Serbia vs Switzerland,Away Win,Draw,False,31.74,3.5,0,64.77
